CustomerID,FirstName,LastName,CreditCardNumber,OrderID,PurchaseDate,DeliveryDate,ShippingClass,ProductID,Department,Category,ItemPurchased,Quantity,Price,ShippingCost,Discount,Sales,Profit,DistributionCenterID,DeliveryZipCode,HomeZipCode,TransactionStatus,City,Region,State,Country,Segment,OrderPriority,OrderReturned,OrderDeliveryDelayed,Rating,ReviewID,Friends,SharedWith,ZipCodeInSupplyChainNet,CityInSupplyChainNet,StateInSupplyChainNet,LatitudeInSupplyChainNet,LongitudeInSupplyChainNet,FacilityIDInSupplyChainNet,DistributionCenterIDInSupplyChainNet,WarehouseIDInSupplyChainNet
678-43-8307,Lizzie,Pagac,xxxx-xxxx-xxxx-3244,0828e136-008d-46d5-9452-2008ba6f43ac,Mon May 09 22:35:38 EDT 2022,Tue May 10 22:37:33 EDT 2022,Next Day,ELE-CO-3152-781,Electronics,Copiers,Sharp Machine - Scanner,3,530.02,24.06,21.47,1592.6499999999999,222.971,DistributionCenter_90,30343,30343,Approved,Atlanta,TO_BE_ADDED,GA,USA,Consumer,Critical,Yes,No,2,,,,30343,Atlanta,GA,33.844371,-84.47405,,DistributionCenter_90,Warehouse_16
316-06-3920,Hoyt,Medhurst,xxxx-xxxx-xxxx-9106,985a2f0b-a02f-4eab-98ef-aaa53ea458b3,Mon May 09 22:36:54 EDT 2022,Tue May 10 22:32:07 EDT 2022,Next Day,SPO-GO-8415-195,Sports,Golf,Golf Shoes - Callaway,2,874.0,30.52,74.49,1704.03,170.40300000000002,DistributionCenter_11,60693,60693,Approved,Chicago,TO_BE_ADDED,IL,USA,Home Office,low,Yes,Yes,4,a2f0b-a02f,331-15-6130;117-39-7419;846-73-7775;700-04-8478,331-15-6130;700-04-8478,60693,Chicago,IL,42.096428,-87.71791,,DistributionCenter_11,Warehouse_3
507-84-2394,Valentine,Schmidt,xxxx-xxxx-xxxx-1110,1b6f7613-bfa2-4537-91d8-9d2b8c9a65ba,Mon May 09 22:39:52 EDT 2022,Wed May 11 22:28:36 EDT 2022,Two Day,FUR-CH-6214-713,Furniture,Chairs,Manager's Chair - Indigo,2,104.63,12.3,11.18,210.38,21.038,DistributionCenter_60,33163,33163,Approved,Miami,TO_BE_ADDED,FL,USA,Consumer,High,Yes,No,4,,,,33163,Miami,FL,25.94497,-80.21452,,DistributionCenter_60,Warehouse_17
524-48-3047,Watson,Hills,xxxx-xxxx-xxxx-1397,10fb3f26-cd8f-42b2-9960-a4ad35c1262e,Mon May 09 22:40:12 EDT 2022,Wed May 11 22:29:08 EDT 2022,Two Day,OFF-AR-5046-061,Office Supplies,Art,Pencils - Medium Soft,4,6.07,1.48,1.89,23.87,1.1935,DistributionCenter_21,10269,10269,Approved,New York,TO_BE_ADDED,NY,USA,Consumer,High,No,No,2,,045-73-8725;623-60-0373;227-70-8672,227-70-8672,10269,New York,NY,40.780751,-73.977182,,DistributionCenter_21,Warehouse_7
543-41-5786,Luisa,Braun,xxxx-xxxx-xxxx-1869,f77de93a-162a-4678-9436-ea1a8b0bd1d8,Mon May 09 22:33:39 EDT 2022,Sat May 14 22:36:33 EDT 2022,Standard,ELE-AC-6238-248,Electronics,Accessories,Samsonite Electronic Wrist Watch,2,195.93,12.55,11.67,392.74,62.8384,DistributionCenter_19,10197,10197,Approved,New York,TO_BE_ADDED,NY,USA,Consumer,Critical,No,Yes,2,de93a-162a,812-48-9103;564-06-9879;083-02-3489,812-48-9103;564-06-9879;083-02-3489,10197,New York,NY,40.780751,-73.977182,,DistributionCenter_19,Warehouse_6
074-37-3573,Emilie,Collier,xxxx-xxxx-xxxx-8487,8344a2b9-92f2-424b-a6f7-c7baf62028eb,Mon May 09 22:38:12 EDT 2022,Tue May 10 22:28:40 EDT 2022,Next Day,FUR-BO-2841-446,Furniture,Bookcases,Wheelo Bookcase - Multipurpose,5,122.1,12.7,11.39,611.8100000000001,104.00770000000001,DistributionCenter_75,75258,75258,Approved,Dallas,TO_BE_ADDED,TX,USA,Home Office,High,No,No,2,4a2b9-92f2,512-68-0807;702-90-4908,,75258,Dallas,TX,32.767268,-96.777626,,DistributionCenter_75,Warehouse_20
005-79-0476,Miles,Emmerich,xxxx-xxxx-xxxx-7103,6c59e6a7-827f-4f95-a938-1c20ddd57053,Mon May 09 22:36:12 EDT 2022,Wed May 11 22:29:47 EDT 2022,Two Day,SPO-FI-4843-200,Sports,Fitness,Baseball Bat,4,67.43,8.05,47.06,230.71000000000004,25.378100000000003,DistributionCenter_82,37211,37211,Approved,Nashville,TO_BE_ADDED,TN,USA,Home Office,High,No,No,1,9e6a7-827f,391-20-1635;370-27-6963;899-44-1370,391-20-1635;370-27-6963,37211,Nashville,TN,36.079259,-86.72584,,DistributionCenter_82,Warehouse_2
394-44-8062,Eldora,White,xxxx-xxxx-xxxx-8397,ed12a24b-ead7-456d-b9cc-1401b491b92a,Mon May 09 22:28:16 EDT 2022,Sat May 14 22:30:49 EDT 2022,Standard,GRO-PA-6713-664,Grocery,Pasta,Medium Shells,3,1.07,2.83,0.59,5.45,0.109,DistributionCenter_92,30333,30333,Approved,Atlanta,TO_BE_ADDED,GA,USA,Corporate,low,No,No,4,2a24b-ead7,,,30333,Atlanta,GA,33.891251,-84.07456,,DistributionCenter_92,Warehouse_17
014-43-1522,Marisol,Stehr,xxxx-xxxx-xxxx-6127,08e92349-fb13-442d-8804-bc701a32b8b7,Mon May 09 22:39:42 EDT 2022,Wed May 11 22:27:37 EDT 2022,Two Day,FUR-CH-4022-333,Furniture,Chairs,Latex Leather Chair - Adjustable,3,141.55,12.52,11.12,426.05,34.084,DistributionCenter_43,90044,90044,Approved,Los Angeles,TO_BE_ADDED,CA,USA,Consumer,medium,No,Yes,4,92349-fb13,,,90044,Los Angeles,CA,33.953814,-118.29158,,DistributionCenter_43,Warehouse_14
014-43-1522,Marisol,Stehr,xxxx-xxxx-xxxx-6127,98f3abb8-41ba-4161-8317-a6637cb6bac2,Mon May 09 22:28:54 EDT 2022,Tue May 10 22:31:58 EDT 2022,Next Day,CLO-TS-9600-887,Clothing,TShirt,Brooks Brothers Tshirt - Light Blue,3,91.32,3.51,5.69,271.78,13.588999999999999,DistributionCenter_97,30371,30371,Approved,Atlanta,TO_BE_ADDED,GA,USA,Corporate,low,No,No,1,,405-88-1870;822-36-5199,405-88-1870;822-36-5199,30371,Atlanta,GA,33.844371,-84.47405,,DistributionCenter_97,Warehouse_17
